date_used|ccli_number|date_reported
2022-01-16|4866709|2022-06-28
2022-01-23|4866709|2022-06-28
2022-02-06|7104131|2022-06-28
2022-02-06|7122006|2022-06-28
2022-02-06|7037920|2022-06-28
2022-02-06|7120458|2022-06-28
2022-02-06|7130114|2022-06-28
2022-02-06|7096792|2022-06-28
2022-02-13|6271093|2022-06-28
2022-02-13|7071357|2022-06-28
2022-02-13|4328979|2022-06-28
2022-02-13|6237525|2022-06-28
2022-02-13|5731682|2022-06-28
2022-02-20|4327901|2022-06-28
2022-02-20|4330228|2022-06-28
2022-02-20|4331784|2022-06-28
2022-02-20|4958105|2022-06-28
2022-02-20|7051762|2022-06-28
2022-02-20|4331007|2022-06-28
2022-02-20|6428767|2022-06-28
2022-02-27|4684723|2022-06-28
2022-02-27|5677416|2022-06-28
2022-02-27|7149144|2022-06-28
2022-02-27|6016351|2022-06-28
2022-02-27|7116987|2022-06-28
2022-02-27|7051762|2022-06-28
2022-02-27|7159922|2022-06-28
2022-03-06|4905347|2022-06-28
2022-03-06|4334482|2022-06-28
2022-03-06|7033176|2022-06-28
2022-03-06|4339597|2022-06-28
2022-03-06|7008196|2022-06-28
2022-03-13|4336772|2022-06-28
2022-03-13|5292815|2022-06-28
2022-03-13|4327860|2022-06-28
2022-03-13|5171424|2022-06-28
2022-03-13|4866709|2022-06-28
2022-03-13|7002032|2022-06-28
2022-03-13|5900255|2022-06-28
2022-03-20|7130114|2022-06-28
2022-03-20|7158243|2022-06-28
2022-03-20|5292994|2022-06-28
2022-03-20|7028158|2022-06-28
2022-03-26|5677416|2022-06-28
2022-03-26|6016351|2022-06-28
2022-03-26|7051762|2022-06-28
2022-03-26|5947469|2022-06-28
2022-03-26|4866709|2022-06-28
2022-03-26|6237525|2022-06-28
2022-04-03|5292815|2022-06-28
2022-04-03|7096792|2022-06-28
2022-04-03|5731682|2022-06-28
2022-04-03|7062925|2022-06-28
2022-04-03|5752276|2022-06-28
2022-04-03|7148397|2022-06-28
2022-04-03|5184985|2022-06-28
2022-04-10|4331784|2022-06-28
2022-04-10|4353353|2022-06-28
2022-04-10|7116302|2022-06-28
2022-04-10|5290068|2022-06-28
2022-04-10|5172193|2022-06-28
2022-04-10|6352761|2022-06-28
2022-04-10|6059284|2022-06-28
2022-04-15|4340414|2022-06-28
2022-04-15|7068424|2022-06-28
2022-04-15|7149144|2022-06-28
2022-04-15|7120458|2022-06-28
2022-04-15|7056953|2022-06-28
2022-04-17|7024191|2022-06-28
2022-04-17|4866709|2022-06-28
2022-04-17|7116302|2022-06-28
2022-04-17|5301751|2022-06-28
2022-04-17|7116987|2022-06-28
2022-04-17|4847027|2022-06-28
2022-04-17|5229479|2022-06-28
2022-04-24|6535306|2022-06-28
2022-04-24|5172193|2022-06-28
2022-04-24|4678911|2022-06-28
2022-04-24|4334482|2022-06-28
2022-04-24|5282557|2022-06-28
2022-04-24|4350239|2022-06-28
2022-04-24|5183120|2022-06-28
2022-05-01|4681159|2022-06-28
2022-05-01|5731682|2022-06-28
2022-05-01|7115744|2022-06-28
2022-05-01|6113704|2022-06-28
2022-05-01|6352819|2022-06-28
2022-05-01|7157870|2022-06-28
2022-05-08|5905810|2022-06-28
2022-05-08|5947469|2022-06-28
2022-05-08|7134465|2022-06-28
2022-05-08|7096771|2022-06-28
2022-05-08|5275557|2022-06-28
2022-05-08|4021764|2022-06-28
2022-05-15|4973867|2022-06-28
2022-05-15|6020110|2022-06-28
2022-05-15|5203880|2022-06-28
2022-05-15|5947469|2022-06-28
2022-05-15|4158039|2022-06-28
2022-05-15|5292815|2022-06-28
2022-05-22|6236942|2022-06-28
2022-05-22|7024191|2022-06-28
2022-05-22|4866709|2022-06-28
2022-05-22|4327949|2022-06-28
2022-05-22|4326005|2022-06-28
2022-05-22|5291531|2022-06-28
2022-05-22|4331007|2022-06-28
2022-05-29|7148397|2022-06-28
2022-05-29|6475143|2022-06-28
2022-05-29|7008196|2022-06-28
2022-05-29|7120458|2022-06-28
2022-05-29|7158243|2022-06-28
2022-05-29|6428767|2022-06-28
2022-06-05|7033176|2022-06-28
2022-06-05|7002032|2022-06-28
2022-06-05|5229929|2022-06-28
2022-06-05|5187834|2022-06-28
2022-06-05|5932175|2022-06-28
2022-06-05|5228793|2022-06-28
2022-06-05|6271093|2022-06-28
2022-06-19|5161317|2022-06-28
2022-06-19|4329198|2022-06-28
2022-06-19|4331007|2022-06-28
2022-06-19|5443853|2022-06-28
2022-06-19|4334523|2022-06-28
2022-06-19|4330156|2022-06-28
2022-06-19|4847027|2022-06-28
